item,dmarket_price,market_csgo_current,highest_autobuy,average_sell_price,steam_lowest_price,steam_avg_price
SG 553  Ol' Rusty (Factory New),$0.14,0.21,0.155,"0.219
Average price",0.20,0.19
Galil AR  Akoben (Battle-Scarred),$0.13,0.39,0.269,"0.388
Average price",0.19,0.18
Galil AR  Akoben (Battle-Scarred),$0.13,0.39,0.269,"0.388
Average price",0.19,0.18
StatTrak™ MAG-7  Popdog (Battle-Scarred),$0.15,0.19,0.136,"0.234
Average price",0.20,0.20
StatTrak™ MAG-7  Popdog (Battle-Scarred),$0.15,0.19,0.136,"0.234
Average price",0.20,0.20
StatTrak™ MP7  Akoben (Battle-Scarred),$0.15,0.343,No data,"0.131
1 order",0.21,0.18
StatTrak™ MP7  Akoben (Battle-Scarred),$0.15,0.343,No data,"0.131
1 order",0.21,0.18
StatTrak™ MAC-10  Carnivore (Field-Tested),$0.15,0.332,No data,"0.131
1 order",0.21,0.22
Souvenir Dual Berettas  Oil Change (Factory New),$0.16,0.401,No data,"0.033
1 order",0.20,0.15
UMP-45  Corporal (Minimal Wear),$0.16,0.54,0.436,"0.741
Average price",0.26,0.27
StatTrak™ SG 553  Aerial (Field-Tested),$0.15,0.347,No data,"0.133
1 order",0.23,0.23
Glock-18  Clear Polymer (Minimal Wear),$0.15,0.832,0.6,"0.906
Average price",0.21,0.19
StatTrak™ Glock-18  Oxide Blaze (Field-Tested),$0.16,0.376,No data,"0.137
1 order",0.23,0.21
Tec-9  Snek-9 (Minimal Wear),$0.16,0.588,0.469,"0.707
Average price",0.23,0.19
P2000  Oceanic (Factory New),$0.16,0.715,0.515,"0.988
Average price",0.24,0.23
StatTrak™ P2000  Ivory (Field-Tested),$0.15,0.261,0.159,"0.258
Average price",0.21,0.21
P90  Ancient Earth (Factory New),$0.15,0.22,No data,No data,0.21,0.20
P90  Ancient Earth (Factory New),$0.15,0.22,No data,No data,0.21,0.20
StatTrak™ MP7  Armor Core (Field-Tested),$0.16,0.387,No data,"0.139
1 order",0.23,0.21
StatTrak™ MP7  Armor Core (Field-Tested),$0.16,0.387,No data,"0.139
1 order",0.23,0.21
StatTrak™ MP7  Armor Core (Field-Tested),$0.16,0.387,No data,"0.139
1 order",0.23,0.21
MP5-SD  Desert Strike (Factory New),$0.18,1.55,0.9,"1.9
Average price",0.26,0.25
R8 Revolver  Crimson Web (Minimal Wear),$0.18,1.32,0.981,"1.899
Average price",0.24,0.21
StatTrak™ CZ75-Auto  Vendetta (Field-Tested),$0.18,0.236,0.151,"0.299
Average price",0.24,0.25
Sawed-Off  Black Sand (Factory New),$0.18,0.804,0.584,"1.112
Average price",0.25,0.21
StatTrak™ P2000  Turf (Battle-Scarred),$0.18,0.288,0.171,"0.44
Average price",0.26,0.21
Tec-9  Phoenix Chalk (Factory New),$0.18,0.314,0.153,"0.441
Average price",0.20,0.21
StatTrak™ MP7  Mischief (Battle-Scarred),$0.17,0.293,0.17,"0.401
Average price",0.31,0.26
StatTrak™ P2000  Gnarled (Minimal Wear),$0.17,0.284,0.142,"0.327
Average price",0.26,0.23
StatTrak™ MP7  Mischief (Battle-Scarred),$0.17,0.293,0.17,"0.401
Average price",0.31,0.26
StatTrak™ MP7  Mischief (Battle-Scarred),$0.17,0.293,0.17,"0.401
Average price",0.31,0.26
StatTrak™ Sawed-Off  Spirit Board (Well-Worn),$0.18,0.308,0.154,"0.479
Average price",0.26,0.23
StatTrak™ Sawed-Off  Spirit Board (Well-Worn),$0.18,0.308,0.154,"0.479
Average price",0.26,0.23
StatTrak™ Sawed-Off  Spirit Board (Well-Worn),$0.18,0.308,0.154,"0.479
Average price",0.26,0.23
Souvenir Dual Berettas  Oil Change (Factory New),$0.16,0.401,No data,"0.033
1 order",0.20,0.15
UMP-45  Corporal (Minimal Wear),$0.16,0.54,0.436,"0.741
Average price",0.26,0.27
StatTrak™ Glock-18  Oxide Blaze (Field-Tested),$0.16,0.376,No data,"0.137
1 order",0.23,0.21
Tec-9  Snek-9 (Minimal Wear),$0.16,0.584,0.469,"0.707
Average price",0.23,0.19
P2000  Oceanic (Factory New),$0.16,0.715,0.515,"0.988
Average price",0.24,0.23
